id,agency_id,location_name,active_dates
384,005es00425:_MN,78th,
385,005es00425:_MS,78th,
386,005es07654:_MS,13th Chehalis,
387,014es01465:_MW,Union,
388,005es01249:_MS,Carty Rd.,
389,005es00182:_MN,I-5 NB at 29th,
390,005es01167:_MN,(NB) SR502,
391,014es01239:_MW,6th Ave,
392,205es03290:_MN,Padden,
393,205es03222:_MN,77th NB,
394,500es00146:_MW,Burnt Bridge WB,
395,014es00852:_MW,164th WB,
396,014es00240:_MW,Blandford WB,
397,005es00088:_MN,Evergreen Blvd,
398,005es00529:_MS,99th,
399,500es00146:_ME,Burnt Bridge EB,
400,500es00397:_MW,Thurston WB,
401,500es00066:_MW,15th St WB,
402,205es03223:_MS,77th SB,
403,005es00631:_MS,Salmon Cr. SB,
404,005es01175:_MS,(SB) SR502,
405,205es03345:_MN,Andresen,
406,005es00631:_MN,Salmon Cr. NB,
407,005es07475:_MS,Labree Rd Chehalis,
408,205es03562:_MS,119th,
409,205es03481:_MS,50th,
410,205es03290:_MS,Padden,
411,005es01080:_MN,199th,
412,014es00432:_ME,Lieser EB,
413,014es01239:_ME,6th Ave,
414,005es00494:_MN,86th,
415,014es00155:_ME,Grand EB,
416,014es00852:_ME,164th EB,
417,014es01465:_ME,Union,
418,014es00058:_ME,Pearson EB,
419,005es00141:_MN,4th Plain,
420,005es00210:_MS,35th St,
421,014es00630:_MW,I-205 E WB,
422,005es00378:_MS,63rd,
423,014es00559:_MW,Ellsworth WB,
424,014es00772:_ME,Cascade Park Dr,
425,005es00255:_MN,Kiggins,
427,005es07326:_MN,mp 73.3 (access gate),
428,005es00210:_MN,35th St,
429,005es00141:_MS,4th Plain,
430,014es01314:_ME,Lady Island,
431,005es00883:_MS,I-5 SB at 159th,
432,500es00397:_ME,Thurston EB,
433,005es00182:_MS,I-5 SB at 29th,
434,205es02780:_MS,10th,
435,005es00088:_MS,Evergreen Blvd,
436,005es00494:_MS,86th,
437,014es00240:_ME,Blandford EB,
438,205es03153:_MS,NE 58th,
336,500es00964:_MW,78th ST,
439,014es00630:_ME,I-205 E EB,
440,005es00310:_MN,Main St,
441,500es00066:_ME,15th St EB,
442,014es01314:_MW,Lady Island,
443,005es00730:_MS,I-5 SB at 134th,
444,205es03345:_MS,Andresen,
445,205es02726:_MS,SR14,
446,014es00155:_MW,Grand WB,
447,014es00058:_MW,Pearson WB,
448,014es00432:_MW,Lieser WB,
449,005es00529:_MN,99th,
450,005es01081:_MS,199th,
451,005es07326:_MS,mp 73.3 (access gate),
452,205es03562:_MN,119th,
453,205es02780:_MN,10th,
455,"",I-5 SB at 134th,
456,480,Glenn Jackson Bridge (2DS148) @ NB I-205 MP26.4,
457,472,Govt Camp Loop East (2DS116) @ WB US26 MP53.93,
458,453,E. Zoo Interchange (2DS107) @ EB US26 MP72.65,
459,460,SW 88th (2DS144) @ EB US26 MP69.77,
460,435,Newberg Home Acres OR99W NB MP 24.41,
461,494,OR43 (2DS135) @ NB I-205 MP8.56,
462,481,Stafford Rd (2DS139) to SB I-205 MP2,
